gsn,atc,atc_manually_checked,ndc,ndc_match
059981,L01BB07,True,?,none
059985,A10AB06,False,88250033,gsn
060036,C10AX06,True,11917009586,gsn
060046,V03AC03,False,43598085530,gsn
060048,V03AC03,False,45963045630,gsn
060052,G03FA04,True,37803164705,gsn
060097,V03AE03,True,54092024901,atc
060115,C01BB01,True,10939023644,gsn
060125,S02DA01,False,12280046501,atc
060165,A11HA03,False,24208063210,gsn
060179,M01AC06,False,54022849,gsn
060186,C01EB17,False,55513080060,gsn
060199,L01EX02,False,50419048858,gsn
060200,D03,True,13811056545,gsn
060218,B03BA01,False,49884027014,gsn
060225,N05AX12,False,12280030715,gsn
060226,L04AA24,False,3218710,gsn
060230,L04AX04,False,59572040500,gsn
060231,L04AX04,False,59572041000,gsn
060256,D06BB11,True,135020001,atc
060274,N02AX02,False,10147090103,gsn
060292,N05AH04,False,13668014901,gsn
060297,B01AC11,False,10148010200,gsn
060298,A11CC05,False,17856091701,gsn
060300,S01XA14,True,0,gsn
060301,B01AB01,False,24200166010,gsn
060304,S01XA14,True,17474012301,gsn
060305,S01XA14,False,0,gsn
060319,N05AX12,False,13811069230,gsn
060325,B02BD10,False,?,none
060326,L01EX01,False,54569598200,gsn
060327,L01EX01,False,54569598300,gsn
060328,L01EX01,False,69098030,gsn
060333,C01EB18,False,27241012502,gsn
060337,B03BB51,True,13811056890,gsn
060338,N02BE01,False,10702019201,gsn
060341,A06AX03,False,16590047128,gsn
060365,J02AC04,False,85132801,gsn
060371,A10AB06,False,88250205,gsn
060390,N06BA09,False,16714076001,gsn
060391,N06BA09,False,16714076101,gsn
060453,N04BD01,False,39506003330,gsn
060454,N04BD01,False,39506004430,gsn
060455,N04BD01,False,39506005530,gsn
060468,C05AD07,False,42192010804,gsn
060469,B03AA02,False,16714041601,gsn
060471,B05CB04,False,11523726501,gsn
060472,B05CB04,False,13107011630,gsn
060473,B05CB04,False,27241002931,gsn
060474,B05CB04,False,27241003031,gsn
060476,B05XA03,True,10039008803,atc
060486,N04BC09,False,50474080203,gsn
060487,N04BC09,False,50474080403,gsn
060488,N04BC09,False,50474080503,gsn
060489,N04BC09,False,50474080603,gsn
060533,N02BE01,False,10702019301,gsn
060535,B03BB51,True,16590079030,gsn
060548,G03AC10,False,35356025528,gsn
060558,S01XA20,True,15821010115,gsn
060615,N06BA04,False,54092055210,gsn
060624,J06BB04,True,53270005101,atc
060625,J06BB04,False,53270005101,gsn
060659,A11AB,True,50428277276,atc
060671,C01BB01,False,55150015872,gsn
060673,S02DA01,False,12280046501,atc
060674,C01BB01,False,55150016402,gsn
060675,S02DA01,True,12280046501,atc
060679,S02DA01,False,12280046501,atc
060684,S02DA01,False,12280046501,atc
060699,D01,True,11822514300,gsn
060700,D01,True,187137012,gsn
060722,C08CA01,False,35356096530,gsn
060723,C08CA01,False,42254007430,gsn
060763,A14AA07,True,38779241803,gsn
060839,L01BC08,False,16714074901,gsn
060894,A03AX13,True,43015018,gsn
060896,N07BA03,False,21695063356,gsn
060897,N07BA03,False,21695094656,gsn
060898,N07BA03,False,21695094553,gsn
060909,R01AD05,True,37803022203,gsn
060915,N04BD02,False,16714077001,gsn
060935,N07BB04,False,63459030042,gsn
060937,G03CA01,False,51285008787,gsn
060958,H02AB06,False,?,none
060994,M02AA13,True,?,none
061005,N03AX14,False,14789040005,gsn
061006,B03XA02,False,54868586700,gsn
061064,J05AE10,False,35356011301,gsn
061073,V03AF09,True,55390000901,gsn
061086,N02AA11,False,10702007001,gsn
061087,N02AA11,False,10702007101,gsn
061093,N02AA11,False,16590060830,gsn
061094,N02AA11,False,16590060930,gsn
061099,L01EA02,False,3052811,atc
061100,L01EA02,False,3052811,gsn
061101,L01EA02,False,54868575900,gsn
061112,A11CA01,True,10939026633,gsn
061113,L04AX04,False,59572041500,gsn
061114,L04AX04,False,59572042500,gsn
061135,A11E,True,50428300260,gsn
061136,D10AX05,False,16714095601,gsn
061162,A11CC05,False,11917011329,gsn
061173,J05AG03,False,15584010101,gsn
061199,C10AB05,False,16714073701,gsn
061200,C10AB05,False,12280032815,gsn
061205,L04AB04,False,74433901,gsn
061212,B03XA02,True,55513002301,atc
061237,A12CC03,False,10006073028,gsn
061242,J07BB,True,?,none
061269,B03XA02,False,54868542800,gsn
061270,B03XA02,False,55513005701,gsn
061271,B03XA02,False,54868542900,gsn
061294,G03BA03,False,16590085330,gsn
061296,S01XA20,True,50428033156,gsn
061315,A07FA,True,45749001782,gsn
061317,N06BA11,False,45963080611,gsn
061343,R03AK06,True,173071500,gsn
061344,R03AK06,True,173071600,gsn
061345,R03AK06,True,173071700,gsn
061353,A12CB01,False,10135035601,gsn
061355,A11AA,True,13811004390,gsn
061375,B03AA02,False,52544029231,gsn
061388,A10BB12,False,64764030430,gsn
061414,C01CA06,True,10939011344,gsn
061425,D08AX,False,39328006412,gsn
061457,A11GA01,False,54868589000,gsn
061484,L01DB01,False,16714074201,atc
061492,N01AH01,False,63459054104,gsn
061495,N01AH01,False,63459054404,gsn
061504,D01AE12,False,11086004106,gsn
061530,L01XC08,False,?,none
061539,L01CA04,False,10019097002,gsn
061557,L01XH01,False,6056840,gsn
061579,R03AC13,True,63402091101,gsn
061612,A10BH01,False,51138047930,gsn
061613,A10BH01,False,51138048030,gsn
061614,A10BH01,False,12280040130,gsn
061667,R01AD13,False,54868602000,gsn
061669,L01BC02,False,10139006310,gsn
061670,L01BC02,False,10139006312,gsn
061671,L01BC02,False,10139006350,gsn
061680,J05AF11,False,?,none
061686,J02AX05,False,469321110,gsn
061716,A04AA01,False,16590046405,atc
061721,A10AC01,True,2751201,gsn
061738,N05CH01,False,30768019484,gsn
061766,S01XA14,True,63807030035,gsn
061775,D10AD01,False,16110007130,gsn
061801,D04AX,True,10939065844,gsn
061811,C07AG02,False,12280040330,gsn
061812,C07AG02,False,12280040430,gsn
061813,C07AG02,False,12280040530,gsn
061814,C07AG02,False,12280040630,gsn
061845,L01CA02,False,61703030916,gsn
061865,D07AD01,False,35356023400,gsn
061877,C07AA06,False,17478060401,gsn
061882,A12AX,True,10939017022,gsn
061899,S02DA01,False,12280046501,atc
061901,L02AB02,True,38779142203,gsn
061911,N05AX12,False,59148001665,gsn
061935,B03AA07,False,39328005750,gsn
061985,N05AX13,False,10147095201,gsn
061986,N05AX13,False,10147095301,gsn
061991,A11AB,True,50428277276,atc
062006,A01AD01,False,54288010301,gsn
062017,S02AA14,False,10003060115,atc
062041,L01BC01,False,?,none
062047,A11AA,True,65804082,gsn
062053,A01AC02,False,63323050601,gsn
062055,D08AL01,False,12165000101,gsn
062058,A07EC02,False,16714083001,gsn
062065,R01AC08,False,17478030512,gsn
062134,B05BA,True,?,none
062172,B05XA02,False,40986001749,gsn
062173,L01CE02,False,10019093401,gsn
062174,L01CE02,False,10019093402,gsn
062176,D11AX18,False,10544040630,gsn
062178,M03BX08,False,16590081030,gsn
062192,J06BB04,True,53270005101,atc
062197,S01XA18,True,?,none
062228,A01AB,True,48878060002,gsn
062237,J06BB04,False,13533063603,gsn
062240,A07EA06,False,21695029101,gsn
062241,A07EA06,False,50090223900,gsn
062245,A02BC05,False,69097052834,gsn
062246,A02BC05,False,69097052934,gsn
062267,J06BB04,True,53270005101,atc
062283,N06BA12,False,16590092730,gsn
062284,N06BA12,False,35356013500,gsn
062285,N06BA12,False,16590092830,gsn
062289,C09XA02,False,12280040030,gsn
062322,A06AC06,True,10939037033,gsn
062336,A01AD,True,48582000007,gsn
062354,A01AD,True,0,gsn
062364,L01EH01,False,68180080136,gsn
062462,A01AB13,False,54868615100,gsn
062464,B05ZB,True,?,none
062479,L04AA25,False,25682000101,gsn
062493,D04AA32,False,10939020944,gsn
062498,A11HA03,False,24208053210,gsn
062514,J07BC,True,58160082132,gsn
062529,R05CB01,False,27434000211,gsn
062531,A10BH01,False,35356013660,gsn
062532,A10BH01,False,51138052730,gsn
062533,B05CB04,False,10572010001,gsn
062535,L01AX03,False,16729012953,gsn
062536,L01AX03,False,16729013053,gsn
062537,A07AC01,True,73462015045,gsn
062542,G03BA03,False,63481018316,gsn
062587,G03CA03,False,50742065828,gsn
062602,L03AB08,False,50419052309,gsn
062605,S01EE04,False,12280040705,gsn
062624,L04AB01,False,58406045501,gsn
062625,A12AX,True,10939020644,gsn
062629,N01BX01,False,38779058305,gsn
062645,A16AA01,False,11917005935,gsn
062651,A11CC05,False,43292056336,gsn
062658,D07AC17,False,35356047410,gsn
062664,J07BC,True,58160082043,gsn
062665,J07BC,True,54569531100,gsn
062668,J07BC01,True,58160082101,gsn
062678,J07BC,True,54569563000,gsn
062680,A07FA01,True,45749001781,gsn
062693,A06AD04,False,24200000103,gsn
062710,J07BC,True,58160082132,atc
062725,A07EA06,False,54868593700,gsn
062726,A07EA06,False,54569646600,gsn
062733,A16AA01,False,50383017104,gsn
062737,J07CA12,True,?,none
062746,A12CA01,False,44229020760,gsn
062747,N02AA03,True,45183091337,atc
062748,N05AH04,False,10135065760,gsn
062749,N05AH04,False,10135065860,gsn
062760,J07BC,True,58160082132,atc
062777,G03CA01,False,52544029528,gsn
062784,G03CA03,False,68025006501,gsn
062792,C02KX02,False,42794005108,gsn
062793,C02KX02,False,42794005208,gsn
062795,A06AC06,True,58790000228,gsn
062806,A06AG04,False,11917016842,gsn
062809,C08CA01,False,13668020430,gsn
062810,N06AX01,True,11917009899,gsn
062811,D10AD03,False,35356029245,gsn
062815,G03DA04,False,55566650001,gsn
062819,N06BA13,False,16590034530,gsn
062820,N06BA13,False,42254001430,gsn
062821,N06BA13,False,16590039430,gsn
062823,N02AA03,False,76045000910,gsn
062825,N02AA03,False,45183091337,atc
062826,L01EG01,False,?,none
062828,J01FA10,False,17478030703,gsn
062867,A10AE04,False,49502019671,gsn
062870,N06DA03,False,16714011501,gsn
062871,N06DA03,False,16714011601,gsn
062880,C01EB06,True,38779083503,gsn
062892,D01,True,187137012,atc
062953,A10BX01,True,67004591,gsn
062960,G03CA03,False,54868615700,gsn
062973,C01EB18,False,27241012602,gsn
062974,J05AX09,False,35356020860,gsn
062979,J05AX09,False,35356020960,gsn
062989,J02AX06,False,?,none
062997,D05BB02,False,145430001,gsn
063016,R03AC13,False,49502060530,gsn
063018,N06BA03,True,53265039610,atc
063030,B03AD05,False,16103038308,gsn
063038,A06AA01,False,48102001235,gsn
063041,S02AA10,True,42192070115,gsn
063046,A12BA02,False,51801001101,gsn
063053,L01AB01,False,?,none
063059,J07BC,True,58160082601,gsn
063062,R03D,True,10122090212,gsn
063069,A11HA01,True,13925007028,gsn
063072,B02BD02,True,26037250,gsn
063076,N03AF03,False,62856058230,gsn
063077,N03AF03,False,62856058352,gsn
063097,M03BA02,False,16590075530,gsn
063103,R05CA03,False,10939090744,gsn
063108,M01AX25,False,21695006472,gsn
063141,S01AE05,False,?,none
063144,C01BB01,True,11917009579,gsn
063164,R03BB04,False,597010028,gsn
063172,A11AA,True,4195401,atc
063178,A06AA01,False,11673076155,gsn
063179,C08CA01,False,13668032430,gsn
063181,C08CA01,False,13668031330,gsn
063182,C08CA01,False,13668031130,gsn
063189,A11HA03,True,27434000807,gsn
063191,N04BX02,False,47335000688,gsn
063216,N04BC05,False,13668018405,gsn
063223,J05AH02,False,16714081701,gsn
063231,J05AJ01,False,35356011006,gsn
063235,J01DH04,True,50458040101,gsn
063240,N05AH04,False,16729013212,gsn
063245,L01DC04,False,?,none
063246,L01DC04,False,?,none
063286,R01AX,True,5928004507,gsn
063303,B03AE01,True,10782019830,atc
063308,A16AA,True,38779118604,atc
063319,L01EA03,False,78052651,gsn
063337,B05XA01,True,54162016100,gsn
063340,A06AD04,False,44567042000,gsn
063347,A12CC02,False,10974008330,atc
063357,B03AE04,True,11917007696,gsn
063385,A11AA,True,10267073701,gsn
063397,S01XA20,True,15821010115,atc
063457,D01AE12,True,11086004106,atc
063465,V06DC01,True,49452438401,gsn
063466,G04BD09,False,54868617400,gsn
063473,V03AE02,False,16714081401,gsn
063495,H03AA05,True,64727329801,gsn
063496,A06AA01,False,21695068107,gsn
063502,A12CC02,False,10974008330,atc
063504,H03AA05,True,64727329901,gsn
063505,H03AA05,True,43063081901,gsn
063510,C07AB12,False,51138045230,gsn
063511,C07AB12,False,50090130700,gsn
063515,N02AA05,False,59011081510,gsn
063518,J01DB04,False,42852062762,gsn
063544,B01AC04,False,16729021975,gsn
063561,S01XA20,True,11917011678,gsn
063562,S01KA02,False,11917010220,gsn
063576,J07AG,True,49281054503,gsn
063588,B02BC06,True,?,none
063593,J06BB05,True,?,none
063595,V08BA02,True,10361072300,atc
063597,J05AG04,False,54569610200,gsn
063605,G01AD02,True,12539012501,atc
063646,N06BA12,False,54868600900,gsn
063647,N06BA12,False,59417010610,gsn
063663,N03AB05,False,10019026301,gsn
063664,N03AB05,False,10019026301,atc
063687,J07AF01,True,?,none
